index,Trend Start Time,1M Vol Open,1Y Vol Open,DXY Open,Daily Trend #,Previous Day DXY Trend,Previous Day RR,Previous Day RR MAVG,Previous Day SPY Trend,Trend Start,Trend Type,USDMXNV1M Tick,USDMXNV1Y Tick,SPX Tick,DXY Tick,V1M Change,V1Y Change,DXY Change,SPX Change,Target,MXEF Tick,MXEF CCY Tick,BBDXY Tick,USDMXN RSI,USDMXN MACD,USDMXN ROC 4,USDMXN ROC 10,Day Start,MXEF Change,MXEF CCY Change,BBDXY Change,Abs Max Trend Sz,CCY,Max Trend Size,SPX Open,Trend End Time,Trend Extreme,Target New,Target Dif,RR Divergence
52,2019-05-31 02:18:00,9.218,11.27,98.162,4.0,0.29,0.5575,0.8338,-2.36,19.5935,Up,11.315,11.755,2788.86,98.104,2.06,0.34700000000000003,-0.033,-1.58,0,996.12,1612.25,1211.35,69.13981715,0.003828606,0.214846341,0.203596359,,-1.42,-0.23,-0.030000000000200002,0.002255850154387936,USDMXN,0.002255850154387936,2766.15,2019-05-31 02:19:00,19.6377,0,0,-0.2763
53,2019-05-31 02:28:00,9.218,11.27,98.162,5.0,0.29,0.5575,0.8338,-2.36,19.6377,Down,11.498,11.818,2788.86,98.11,2.2430000000000003,0.41,-0.027000000000000003,-1.58,1,996.28,1612.84,1211.1,41.19901362,-0.002780753,-0.131498471,-0.220496499,,-1.26,0.36,-0.28,0.0031521002968778345,USDMXN,-0.0031521002968778345,2766.15,2019-05-31 02:32:00,19.5758,1,1,-0.2763
54,2019-05-31 02:35:00,9.218,11.27,98.162,6.0,0.29,0.5575,0.8338,-2.36,19.5758,Up,11.445,11.808,2788.86,98.115,2.19,0.4,-0.022,-1.58,1,996.01,1612.58,1211.45,61.49911836,0.001423465,0.225201072,0.127029798,,-1.53,0.09999999999989999,0.06999999999989999,0.0036882273010553188,USDMXN,0.0036882273010553188,2766.15,2019-05-31 02:51:00,19.648,1,0,-0.2763
55,2019-05-31 03:11:00,9.218,11.27,98.162,7.0,0.29,0.5575,0.8338,-2.36,19.648,Up,11.39,11.777999999999999,2788.86,98.055,2.135,0.37,-0.08199999999999999,-1.58,1,994.86,1612.74,1211.21,79.41903433,0.004227178,0.14995171,0.281975457,,-2.68,0.26,-0.17,0.003369299674267205,USDMXN,0.003369299674267205,2766.15,2019-05-31 03:15:00,19.7142,1,1,-0.2763
56,2019-05-31 03:18:00,9.218,11.27,98.162,8.0,0.29,0.5575,0.8338,-2.36,19.7142,Down,11.538,11.815,2788.86,98.052,2.283,0.407,-0.085,-1.58,1,994.73,1612.78,1210.98,49.79152569,-0.002878831,-0.182709583,-0.097528268,,-2.81,0.3,-0.4,0.003515232674924771,USDMXN,-0.003515232674924771,2766.15,2019-05-31 03:24:00,19.6449,1,0,-0.2763
57,2019-05-31 03:25:00,9.218,11.27,98.162,9.0,0.29,0.5575,0.8338,-2.36,19.6449,Up,11.927999999999999,11.89,2788.86,98.046,2.673,0.482,-0.091,-1.58,1,994.69,1612.72,1211.1,61.81880527,-0.002026461,0.227021689,0.014222222,,-2.85,0.24,-0.28,0.004591522481661876,USDMXN,0.004591522481661876,2766.15,2019-05-31 03:42:00,19.7351,1,0,-0.2763
58,2019-05-31 03:51:00,9.218,11.27,98.162,10.0,0.29,0.5575,0.8338,-2.36,19.7351,Down,11.933,11.905,2788.86,98.007,2.678,0.4970000000000001,-0.13,-1.58,1,993.89,1612.72,1210.67,41.44589158,-0.004311065,-0.14457171300000002,-0.108594713,,-3.65,0.24,-0.71,0.005487684379607898,USDMXN,-0.005487684379607898,2766.15,2019-05-31 04:36:00,19.6268,1,0,-0.2763
59,2019-05-31 04:38:00,9.218,11.27,98.162,11.0,0.29,0.5575,0.8338,-2.36,19.6268,Up,11.95,11.915,2788.86,98.00299999999999,2.695,0.507,-0.134,-1.58,1,994.89,1613.12,1210.64,68.37102453,0.003047744,0.12313579,0.118550931,,-2.65,0.64,-0.74,0.007128008641245684,USDMXN,0.007128008641245684,2766.15,2019-05-31 05:58:00,19.7667,1,0,-0.2763
60,2019-05-31 05:59:00,9.218,11.27,98.162,12.0,0.29,0.5575,0.8338,-2.36,19.7667,Down,12.208,11.93,2788.86,98.023,2.9530000000000003,0.522,-0.114,-1.58,1,995.05,1612.83,1211.12,31.46192037,-0.005349414,-0.182797768,-0.240384615,,-2.49,0.35,-0.26,0.003430011079239421,USDMXN,-0.003430011079239421,2766.15,2019-05-31 06:12:00,19.6989,1,0,-0.2763
61,2019-05-31 06:34:00,9.218,11.27,98.162,13.0,0.29,0.5575,0.8338,-2.36,19.6989,Up,12.165,11.93,2788.86,98.022,2.91,0.522,-0.115,-1.58,1,995.06,1612.77,1211.42,63.51448047,0.00265722,0.108508815,0.112062146,,-2.48,0.29,0.04,0.0065485890075081005,USDMXN,0.0065485890075081005,2766.15,2019-05-31 06:49:00,19.8279,1,0,-0.2763
